organisation_name,organisation_type,origin_status,official_domain,information_url,founder_or_key_people,founder_relationship_evidence_url,creator_or_educator_channel,focus_area,main_database_status,url_check_status,notes
WeMakeDevs,Developer community,Indian-origin,wemakedevs.org,https://www.wemakedevs.org/,Kunal Kushwaha — Founder,https://www.wemakedevs.org/,https://www.youtube.com/@KunalKushwaha,"Open-source, cloud-native and AI developer communities; hackathons and meetups",appended to companies sheet,200,Official homepage identifies Kunal Kushwaha as Founder and describes an active global developer community. Information URL HTTP check: 200. Final URL: https://www.wemakedevs.org/
takeUforward,Developer education platform,Indian-origin,takeuforward.org,https://takeuforward.org/,Raj Vikramaditya (Striver) — Founder & CEO,https://takeuforward.org/,https://www.youtube.com/channel/UCJskGeByzRRSvmOyZOz61ig,"Data structures, algorithms, system design and interview preparation",appended to companies sheet,200,Official site identifies Raj/Striver as Founder & CEO and describes the one-stop preparation platform. Information URL HTTP check: 200. Final URL: https://takeuforward.org/
Masai School,Edtech and career school,Indian-origin,masaischool.com,https://masaischool.com/about,Prateek Shukla — Co-founder & CEO; Nrupul Dev and Yogesh Bhat — co-founders,https://masaischool.com/about,,Outcome-driven technology and career education,appended to companies sheet,200,Official About page describes the founding team and the active career-school model. Information URL HTTP check: 200. Final URL: https://www.masaischool.com/about
Kalvium,Higher education and technology programme,Indian-origin,kalvium.com,https://kalvium.com/blog/why-we-built-kalvium-the-way-we-did/,"Rajesh Kumar B, Venkat Raghulan, Anil Gulecha, and Deepak Venugopal — co-founders",https://kalvium.com/blog/why-we-built-kalvium-the-way-we-did/,,"Partner-university B.Tech CSE, production engineering and work-integrated learning",appended to companies sheet,200,Official founder story names four co-founders and explains the programme model. Information URL HTTP check: 200. Final URL: https://kalvium.com/blog/why-we-built-kalvium-the-way-we-did/
Newton School,Edtech and technology education,Indian-origin,newtonschool.co,https://www.newtonschool.co/newton-school-of-technology-nst/about,Siddharth Maheshwari and Nishant Chandra — founders/co-founders,https://www.newtonschool.co/about-us,,"Software development, data science, AI and Newton School of Technology",appended to companies sheet,200,Official pages identify the founders and describe the active tech-learning platform; Newton School of Technology is a related brand. Information URL HTTP check: 200. Final URL: https://www.newtonschool.co/newton-school-of-technology-nst/about
Krish Naik Academy,AI and data-science education,Indian-origin,krishnaikacademy.com,https://krishnaikacademy.com/,Krish Naik — Founder,https://krishnaikacademy.com/,https://www.youtube.com/@krishnaik06,"Data science, machine learning, generative AI, deep learning and LLM engineering",appended to companies sheet,200,Official homepage states that the academy was founded by Krish Naik and lists active AI courses. Information URL HTTP check: 200. Final URL: https://krishnaikacademy.com/
Khan Sir Academy / Khan Global Studies,Competitive-exam education,Indian-origin,khanglobalstudies.com,https://www.khanglobalstudies.com/about-us,Khan Sir (Faisal Khan) — Founder,https://www.khanglobalstudies.com/about-us,https://www.youtube.com/@khanglobalstudies,"Competitive exams, current affairs and affordable online/offline coaching",appended to companies sheet,200,The requested Khan Sir Academy label maps to the verifiable organisation Khan Global Studies on its official About page; the creator-business sheet already contains this relationship. Information URL HTTP check: 200. Final URL: https://www.khanglobalstudies.com/about-us
Hugging Face,AI/ML developer platform,Global; not Indian-origin,huggingface.co,https://huggingface.co/,"Clément Delangue, Julien Chaumond and Thomas Wolf — founders",https://www.ibm.com/think/topics/hugging-face,,"Open models, datasets, applications and machine-learning collaboration",appended to companies sheet,200,"Included at the user’s request. Hugging Face is a global organisation, not an Indian-origin organisation; the origin status is deliberately marked. Information URL HTTP check: 200. Final URL: https://huggingface.co/"
GeeksforGeeks,Developer education and coding platform,Indian-origin,geeksforgeeks.org,https://www.geeksforgeeks.org/about/,Sandeep Jain — Founder,https://www.geeksforgeeks.org/about/,,"Computer science tutorials, coding practice, interview preparation and courses",appended to companies sheet,200,Official About page states that the platform was founded by Sandeep Jain in 2008. Information URL HTTP check: 200. Final URL: https://www.geeksforgeeks.org/about/
Coding Ninjas,Developer education and career platform,Indian-origin,codingninjas.com,https://www.codingninjas.com/,Ankush Singla — Co-founder,https://www.codingninjas.com/press-release,,"Software development, data analytics, AI, DSA and career bootcamps",appended to companies sheet,200,Official site confirms the active coding and career-education platform; official press materials identify Ankush Singla’s founder role. Information URL HTTP check: 200. Final URL: https://www.codingninjas.com/
HCL GUVI,Developer education and skills platform,Indian-origin,guvi.in,https://www.guvi.in/about/,"Arun Prakash M, Sridevi M and S.P. Balamurugan — founders",https://www.guvi.in/about/,,"Coding, data science, software development and vernacular technology learning",appended to companies sheet,200,Official About page confirms current HCL GUVI identity and the active technical-skills platform; founder names are supported by the organisation’s public profiles. Information URL HTTP check: 200. Final URL: https://www.guvi.in/about/
