company_name,primary_domain,info_url_1,info_url_1_source_type,info_url_2,info_url_2_source_type,sentiment_url_1,sentiment_url_1_source_type,sentiment_url_2,sentiment_url_2_source_type,notes
Innoviti Solutions,innoviti.com,https://innoviti.com/about-us/,own_about_page,https://in.linkedin.com/company/innoviti-technologies,linkedin,https://www.glassdoor.com/Reviews/Innoviti-Reviews-E637492.htm,glassdoor,,,Official domain identified from the TopStartups company listing. Substantive own-site company/about page was found. A company-specific Glassdoor review page was verified from the TopStartups listing and included as the optional sentiment URL.
Rupeek,rupeek.com,https://rupeek.com:443/about,own_about_page,https://linkedin.com/company/10045372,linkedin,https://www.glassdoor.com/Reviews/Rupeek-Reviews-E1398944.htm,glassdoor,,,Official domain identified from the TopStartups company listing. Substantive own-site company/about page was found. A company-specific Glassdoor review page was verified from the TopStartups listing and included as the optional sentiment URL.
Cuemath,cuemath.com,https://www.cuemath.com/about-us/,own_about_page,https://linkedin.com/company/cue-learn,linkedin,"https://www.glassdoor.com/Reviews/Cuelearn-cuemath-Reviews-EI_IE1333414.0,8_KH9,16.htm",glassdoor,,,Official domain identified from the TopStartups company listing. Substantive own-site company/about page was found. A company-specific Glassdoor review page was verified from the TopStartups listing and included as the optional sentiment URL.
Fashinza,fashinza.com,https://fashinza.com/who-we-are/,own_about_page,https://in.linkedin.com/company/fashinza,linkedin,https://www.glassdoor.com/Reviews/Fashinza-Reviews-E3826921.htm,glassdoor,,,Official domain identified from the TopStartups company listing. Substantive own-site company/about page was found. A company-specific Glassdoor review page was verified from the TopStartups listing and included as the optional sentiment URL.
Loop Health,loophealth.com,https://www.loophealth.com/our-story,own_about_page,https://linkedin.com/company/invoq-health,linkedin,,,,,Official domain identified from the TopStartups company listing. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
BYJU'S,byjus.com,https://linkedin.com/company/byjus,linkedin,,,https://www.glassdoor.com/Reviews/BYJU-S-Reviews-E690021.htm,glassdoor,,,Official domain identified from the TopStartups company listing. No substantive own-site about page found; used the populated LinkedIn company page. A company-specific Glassdoor review page was verified from the TopStartups listing and included as the optional sentiment URL.
Perfios,perfios.ai,https://perfios.ai/about-us,own_about_page,https://in.linkedin.com/company/perfios,linkedin,https://www.glassdoor.com/Reviews/Perfios-Software-Reviews-E397130.htm,glassdoor,,,Official domain identified from the TopStartups company listing. Substantive own-site company/about page was found. A company-specific Glassdoor review page was verified from the TopStartups listing and included as the optional sentiment URL.
Livspace,livspace.com,https://www.livspace.com:443/in/about-us,own_about_page,https://linkedin.com/company/livspace,linkedin,"https://www.glassdoor.com/Overview/Working-at-LivSpace-EI_IE1326799.11,19.htm",glassdoor,,,Official domain identified from the TopStartups company listing. Substantive own-site company/about page was found. A company-specific Glassdoor review page was verified from the TopStartups listing and included as the optional sentiment URL.
INCREFF,increff.com,https://www.increff.com/about-us,own_about_page,https://linkedin.com/company/increff,linkedin,"https://www.glassdoor.com/Overview/Working-at-Increff-EI_IE1650026.11,18.htm",glassdoor,,,Official domain identified from the TopStartups company listing. Substantive own-site company/about page was found. A company-specific Glassdoor review page was verified from the TopStartups listing and included as the optional sentiment URL.
Swiggy,swiggy.com,https://linkedin.com/company/swiggy-in,linkedin,https://en.wikipedia.org/wiki/Swiggy,wikipedia,https://www.glassdoor.com/Reviews/Swiggy-Reviews-E952680.htm,glassdoor,,,Official domain identified from the TopStartups company listing. No substantive own-site about page found; used the populated LinkedIn company page. A company-specific Glassdoor review page was verified from the TopStartups listing and included as the optional sentiment URL.
BlueStone,bluestone.com,https://linkedin.com/company/bluestone-com,linkedin,,,https://www.glassdoor.com/Reviews/Bluestone-com-Reviews-E924070.htm,glassdoor,,,Official domain identified from the TopStartups company listing. No substantive own-site about page found; used the populated LinkedIn company page. A company-specific Glassdoor review page was verified from the TopStartups listing and included as the optional sentiment URL.
Razorpay,razorpay.com,https://razorpay.com/about/,own_about_page,https://linkedin.com/company/razorpay,linkedin,"https://www.glassdoor.com/Overview/Working-at-Razorpay-EI_IE1146550.11,19.htm",glassdoor,,,Official domain identified from the TopStartups company listing. Substantive own-site company/about page was found. A company-specific Glassdoor review page was verified from the TopStartups listing and included as the optional sentiment URL.
Pristyn Care,pristyncare.com,https://www.linkedin.com/company/pristyncare/,linkedin,https://en.wikipedia.org/wiki/Pristyn_Care,wikipedia,https://www.glassdoor.com/Reviews/Pristyn-Care-Reviews-E2862380.htm,glassdoor,,,Official domain identified from the TopStartups company listing. No substantive own-site about page found; used the populated LinkedIn company page. A company-specific Glassdoor review page was verified from the TopStartups listing and included as the optional sentiment URL.
Rentomojo,rentomojo.com,https://www.rentomojo.com/about/aboutus,own_about_page,https://linkedin.com/company/rentomojo,linkedin,"https://www.glassdoor.com/Overview/Working-at-RentoMojo-EI_IE1316648.11,20.htm",glassdoor,,,Official domain identified from the TopStartups company listing. Substantive own-site company/about page was found. A company-specific Glassdoor review page was verified from the TopStartups listing and included as the optional sentiment URL.
MyGlamm,myglamm.com,https://linkedin.com/company/myglamm,linkedin,,,https://www.glassdoor.com/Reviews/MyGlamm-Reviews-E1375928.htm,glassdoor,,,Official domain identified from the TopStartups company listing. No substantive own-site about page found; used the populated LinkedIn company page. A company-specific Glassdoor review page was verified from the TopStartups listing and included as the optional sentiment URL.
Lokal,lokalapps.com,https://www.lokalapps.com/about-us,own_about_page,https://linkedin.com/company/lokal-app,linkedin,,,,,Official domain identified from the TopStartups company listing. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
CoinSwitch,coinswitch.co,https://coinswitch.co/about-us,own_about_page,https://www.linkedin.com/company/coinswitch/,linkedin,"https://www.glassdoor.com/Overview/Working-at-CoinSwitch-EI_IE2396041.11,21.htm",glassdoor,,,Official domain identified from the TopStartups company listing. Substantive own-site company/about page was found. A company-specific Glassdoor review page was verified from the TopStartups listing and included as the optional sentiment URL.
Zepto,zeptonow.com,https://www.ycombinator.com/companies/zepto,other,,,,,,,Official domain identified from the YC company profile. No substantive own-site about page found; used the YC company profile. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Ritivel,ritivel.com,https://www.ritivel.com/about,own_about_page,,,,,,,Official domain identified from the YC company profile. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Ressl AI,ressl.ai,https://www.ycombinator.com/companies/ressl-ai,other,,,,,,,Official domain identified from the YC company profile. No substantive own-site about page found; used the YC company profile. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
