company_name,primary_domain,info_url_1,info_url_1_source_type,info_url_2,info_url_2_source_type,sentiment_url_1,sentiment_url_1_source_type,sentiment_url_2,sentiment_url_2_source_type,notes
Tata Motors,tatamotors.com,https://www.tatamotors.com/organisation/about-us/,own_about_page,https://en.wikipedia.org/wiki/Tata_Motors,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Tata Steel,tatasteel.com,https://en.wikipedia.org/wiki/Tata_Steel,wikipedia,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Tata Power,tatapower.com,https://www.tatapower.com/our-legacy,own_about_page,https://en.wikipedia.org/wiki/Tata_Power,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Tata Consumer Products,tataconsumer.com,https://www.tataconsumer.com/about,own_about_page,https://en.wikipedia.org/wiki/Tata_Consumer_Products,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Tata Chemicals,tatachemicals.com,https://www.tatachemicals.com/about,own_about_page,https://en.wikipedia.org/wiki/Tata_Chemicals,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Tata Communications,tatacommunications.com,https://www.tatacommunications.com/about,own_about_page,https://en.wikipedia.org/wiki/Tata_Communications,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Tata Elxsi,tataelxsi.com,https://www.tataelxsi.com/about-us,own_about_page,https://en.wikipedia.org/wiki/Tata_Group,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Tata Technologies,tatatechnologies.com,https://www.tatatechnologies.com/en/about-us/,own_about_page,https://en.wikipedia.org/wiki/Tata_Technologies,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Indian Hotels Company,ihcl.com,https://ihcl.com/about/,own_about_page,https://en.wikipedia.org/wiki/Indian_Hotels_Company_Limited,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Trent,trentlimited.com,https://en.wikipedia.org/wiki/Trent_Limited,wikipedia,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
