creator_name,creator_identity,creator_profile_url,business_name,creator_business_role,business_sector,business_domain,business_info_url,relationship_evidence_url,evidence_source_type,verification_status,notes
Ranveer Allahbadia,BeerBiceps; YouTube creator and podcast host,https://www.youtube.com/@beerbiceps,Monk Entertainment,Co-founder,Creator media and influencer marketing,monk-e.in,https://www.monk-e.in/,https://www.monk-e.in/creators/ranveer-allahbadia,official business site,Source-reviewed; business and evidence URLs returned HTTP 200,Monk-E’s official creator page identifies Ranveer Allahbadia aka BeerBiceps as a digital content creator and entrepreneur and presents Monk Entertainment as a creator business. Business URL HTTP check: 200. Relationship-evidence URL HTTP check: 200.
Ranveer Allahbadia,BeerBiceps; YouTube creator and podcast host,https://www.youtube.com/@beerbiceps,Level SuperMind,Co-founder,Mental wellness and meditation technology,level.game,https://level.game/,https://level.game/team,official business site,Source-reviewed; business and evidence URLs returned HTTP 200,Level’s official team page identifies Ranveer Allahbadia as co-founder. Business URL HTTP check: 200. Relationship-evidence URL HTTP check: 200.
Sandeep Maheshwari,"Motivational YouTube creator, speaker, entrepreneur, and photographer",https://www.youtube.com/user/SandeepSeminars,ImagesBazaar,Founder and CEO,Stock photography and visual content,imagesbazaar.com,https://www.imagesbazaar.com/aboutus,https://sandeepmaheshwari.com/about,official sites,Source-reviewed; business and evidence URLs returned HTTP 200,His official biography identifies him as Founder & CEO of ImagesBazaar and describes his YouTube reach. Business URL HTTP check: 200. Relationship-evidence URL HTTP check: 200.
Ankur Warikoo,"Warikoo; entrepreneur, teacher, and content creator",https://www.youtube.com/@ankurwarikoo,WebVeda,Founder,Online education and professional growth,webveda.com,https://www.webveda.com/,https://ankurwarikoo.com/about/,official sites,Source-reviewed; business and evidence URLs returned HTTP 200,"WebVeda’s official site labels Ankur Warikoo entrepreneur, teacher, and content creator; his official story describes WebVeda as his education startup. Business URL HTTP check: 200. Relationship-evidence URL HTTP check: 200."
Sharan Hegde,Finance With Sharan; finance YouTuber and educator,https://www.youtube.com/@financewithsharan,The 1% Club,Founder and CEO,Personal finance education and fintech,onepercentclub.io,https://www.onepercentclub.io/about-us/,https://www.onepercentclub.io/about-us/,official business site,Source-reviewed; business and evidence URLs returned HTTP 200,The 1% Club About Us page lists Sharan Hegde as Founder & CEO and links the organisation’s YouTube channel. Business URL HTTP check: 200. Relationship-evidence URL HTTP check: 200.
Vivek Bindra,Dr Vivek Bindra; entrepreneurship and motivational YouTube creator,https://www.youtube.com/@MrVivekBindra,Bada Business,Founder and CEO,Business education and coaching,badabusiness.com,https://www.badabusiness.com/,https://www.badabusiness.com/about-dr-vivek-bindra,official business site,Source-reviewed; business and evidence URLs returned HTTP 200,Bada Business’s official biography identifies Dr Vivek Bindra as CEO and founder and describes his entrepreneurship YouTube channel. Business URL HTTP check: 200. Relationship-evidence URL HTTP check: 200.
Ashish Chanchlani,Ashish Chanchlani Vines; comedy YouTuber,https://www.youtube.com/@ashishchanchlani,OG Beauty,Co-founder,"Beauty, fragrance, and wellness",ogbeauty.in,https://www.ogbeauty.in/,https://india.entrepreneur.com/news-and-trends/youtuber-ashish-chanchlani-steps-into-beauty-and-wellness/480943,official business site + reputable media,Source-reviewed; business and evidence URLs returned HTTP 200,Entrepreneur India reported that Ashish Chanchlani co-founded OG Beauty and participates in product development and marketing; the official storefront is active. Business URL HTTP check: 200. Relationship-evidence URL HTTP check: 200.
Bhuvan Bam,"BB Ki Vines; comedy YouTuber, actor, and musician",https://www.youtube.com/@BBKiVines,Youthiapa,Founder / creator partner,Apparel and creator merchandise,youthiapa.com,https://youthiapa.com/,https://apparelresources.com/business-news/retail/bhuvan-bam-launches-youthiapa-2-0-expands-merchandising-brand/,official business site + reputable media,Source-reviewed in browser/search; automated HTTP check was non-200 or unavailable,The official store is active; Apparel Resources reported Bhuvan Bam’s Youthiapa merchandising brand and launch. Business URL HTTP check: 200. Relationship-evidence URL HTTP check: 403.
Shlok Srivastava,Tech Burner; technology YouTuber and entrepreneur,https://www.youtube.com/@TechBurner,Layers,Co-founder,Consumer electronics and device accessories,layers.shop,https://www.layers.shop/,https://www.forbesindia.com/lists/2023-digital-stars/profile/shlok-srivastava/61,official business site + reputable media,Source-reviewed; business and evidence URLs returned HTTP 200,Forbes India identifies Shlok Srivastava aka TechBurner as a tech creator and entrepreneur who co-founded Layers. Business URL HTTP check: 200. Relationship-evidence URL HTTP check: 200.
Faisal Khan,Khan Sir; educator and YouTube creator,https://www.youtube.com/@khanglobalstudies,Khan Global Studies,Founder,Competitive-exam education,khanglobalstudies.com,https://www.khanglobalstudies.com/,https://www.youtube.com/watch?v=hhB5uWw034w,official business site + YouTube source,Source-reviewed; business and evidence URLs returned HTTP 200,Khan Global Studies is an active education platform with a large YouTube network; the relationship source identifies Khan Sir as founder. Business URL HTTP check: 200. Relationship-evidence URL HTTP check: 200.
